Id,State,Country,Lat,Long,temp,min,max,dewp,prcp,fog
141,,Albania,41.1533,20.1683,52.2,47.5,60.1,44.4,0.01,1
142,,Albania,41.1533,20.1683,52,40.1,62.6,40.7,0,0
143,,Albania,41.1533,20.1683,52.8,44.6,63,41.4,0,0
144,,Albania,41.1533,20.1683,56.1,44.6,72.5,46,0,0
145,,Albania,41.1533,20.1683,58.4,49.3,74.1,50.1,0,0
146,,Albania,41.1533,20.1683,59.2,50.7,72.7,53.7,0,0
147,,Albania,41.1533,20.1683,55.8,52.2,59.7,48.7,0.51,1
148,,Albania,41.1533,20.1683,55.5,43.2,68.7,28.9,0,0
149,,Albania,41.1533,20.1683,52.7,42.1,63.7,27.8,0,0
150,,Albania,41.1533,20.1683,56.4,42.8,72.3,38.2,0,0
151,,Albania,41.1533,20.1683,57.9,47.3,68.4,33.6,0,0
152,,Albania,41.1533,20.1683,56,45.5,68.7,42.3,0,0
153,,Albania,41.1533,20.1683,57.5,44.6,73.4,44,0,0
154,,Albania,41.1533,20.1683,58.5,48.2,69.8,42.8,0,1
155,,Albania,41.1533,20.1683,51.1,46.8,56.1,40.2,0.01,1
156,,Albania,41.1533,20.1683,44.2,39.2,51.4,35,0.03,0
187,,Algeria,28.0339,1.6596,64.9,49.6,82.4,25.7,0,0
188,,Algeria,28.0339,1.6596,62,44.6,80.6,24.3,0,0
189,,Algeria,28.0339,1.6596,62.6,48.2,80.6,29.3,0,0
190,,Algeria,28.0339,1.6596,64.8,50,77,27.8,0,0
191,,Algeria,28.0339,1.6596,68.1,55.4,82.4,38.6,0,0
192,,Algeria,28.0339,1.6596,66.9,59,78.8,30.3,0,0
193,,Algeria,28.0339,1.6596,63.8,55.4,75.2,34.7,0,0
194,,Algeria,28.0339,1.6596,64.2,55,75.6,31.9,0,0
195,,Algeria,28.0339,1.6596,64,53.2,77,25.1,0,0
196,,Algeria,28.0339,1.6596,66.9,52.7,82.4,23.5,0,0
197,,Algeria,28.0339,1.6596,69.9,59,82.4,27.6,0,0
198,,Algeria,28.0339,1.6596,67.4,57.2,79,28.8,0,0
199,,Algeria,28.0339,1.6596,67,58.6,78.8,32,0,0
200,,Algeria,28.0339,1.6596,70.3,57,82.6,35.1,0,0
201,,Algeria,28.0339,1.6596,68.1,50,84.2,34.4,0,0
202,,Algeria,28.0339,1.6596,65.2,57.2,75.2,30.8,0,0
203,,Algeria,28.0339,1.6596,62.4,51.8,75.2,19.4,0,0
204,,Algeria,28.0339,1.6596,65.8,55,82.4,17.5,0,0
205,,Algeria,28.0339,1.6596,67.9,55.4,82.4,24.2,0,0
206,,Algeria,28.0339,1.6596,70.1,59,82.6,21.9,0,0
207,,Algeria,28.0339,1.6596,70.4,60.8,81,21.7,0,0
208,,Algeria,28.0339,1.6596,71.3,65.1,80.6,16.9,0,0
209,,Algeria,28.0339,1.6596,72,59,84.4,34.4,0,0
210,,Algeria,28.0339,1.6596,70.4,59,82.6,26.7,0,0
211,,Algeria,28.0339,1.6596,72.9,64,84.2,26.7,0,0
212,,Algeria,28.0339,1.6596,72.9,64.2,84.4,24.5,0,0
213,,Algeria,28.0339,1.6596,69.9,61.5,81.5,29.2,0,0
214,,Algeria,28.0339,1.6596,66.1,53.1,77,31.1,0,0
215,,Algeria,28.0339,1.6596,67.7,55.4,80.6,27.6,0,0
216,,Algeria,28.0339,1.6596,69.9,58.5,82.4,23.7,0,0
217,,Algeria,28.0339,1.6596,71.4,60.8,85.1,26.3,0,0
218,,Algeria,28.0339,1.6596,70.7,60.8,82.4,26.4,0,0
219,,Algeria,28.0339,1.6596,67.7,56.1,78.8,23.3,0,0
220,,Algeria,28.0339,1.6596,67.7,55,81,25.5,0,0
221,,Algeria,28.0339,1.6596,69.8,60.6,82.4,25.5,0,0
222,,Algeria,28.0339,1.6596,68.4,47.5,84.2,22.6,0,0
223,,Algeria,28.0339,1.6596,69.5,51.6,82.4,21.4,0,0
224,,Algeria,28.0339,1.6596,70.6,54.7,84.2,24.3,0,0
225,,Algeria,28.0339,1.6596,73.7,61.5,89.6,23,0,0
226,,Algeria,28.0339,1.6596,74.5,62.6,90,19.1,0,0
227,,Algeria,28.0339,1.6596,73.1,53.6,90,21.6,0,0
228,,Algeria,28.0339,1.6596,72.8,51.4,87.8,20.8,0,0
229,,Algeria,28.0339,1.6596,73.8,53.6,89.6,25.3,0,0
230,,Algeria,28.0339,1.6596,70.7,51.8,87.8,27.9,0,0
231,,Algeria,28.0339,1.6596,72.8,50,93.2,25.4,0,0
232,,Algeria,28.0339,1.6596,71.3,55,79.9,24.2,0,0
233,,Algeria,28.0339,1.6596,64.5,55.4,74.3,18.6,0,0
234,,Algeria,28.0339,1.6596,63.8,52.9,75.6,18.7,0,0
235,,Algeria,28.0339,1.6596,63.1,42.6,79,19.8,0,0
236,,Algeria,28.0339,1.6596,64,41.4,75.2,24.5,0,0
237,,Algeria,28.0339,1.6596,68.1,56.7,84.2,28.6,0,0
238,,Algeria,28.0339,1.6596,70.9,59,86,24.5,0,0
239,,Algeria,28.0339,1.6596,74.8,61.2,91.4,22,0,0
240,,Algeria,28.0339,1.6596,77.7,61.7,93.2,18.9,0,0
241,,Algeria,28.0339,1.6596,78.1,66.7,89.8,14.9,0,0
242,,Algeria,28.0339,1.6596,73.5,54.7,91.4,15.8,0,0
243,,Algeria,28.0339,1.6596,78.5,64.2,91.8,20.6,0,0
244,,Algeria,28.0339,1.6596,79.1,66.2,91.4,26,0,0
245,,Algeria,28.0339,1.6596,68.4,51.1,80.6,23.8,0,0
246,,Algeria,28.0339,1.6596,70.2,49.8,86,24.1,0,0
247,,Algeria,28.0339,1.6596,74.2,59,86.9,30.5,0,0
248,,Algeria,28.0339,1.6596,74.9,56.5,91.4,24.6,0,0
249,,Algeria,28.0339,1.6596,66.4,48,79.7,22,0,0
280,,Andorra,42.5063,1.5218,26.2,18,41.7,21.1,0,0
281,,Andorra,42.5063,1.5218,27.2,20.1,43.9,22.1,0,0
282,,Andorra,42.5063,1.5218,28.7,19.8,41.5,24.1,0,0
283,,Andorra,42.5063,1.5218,27.9,19.9,43.2,23.7,0,0
284,,Andorra,42.5063,1.5218,28.8,18,42.3,26.1,0,0
285,,Andorra,42.5063,1.5218,29.8,19,41.7,24.6,0,0
286,,Andorra,42.5063,1.5218,34.8,32.2,40.5,31.3,0.13,0
287,,Andorra,42.5063,1.5218,34.4,25.3,41.7,25.9,0.05,0
288,,Andorra,42.5063,1.5218,32.2,22.5,50.7,21.7,0,0
289,,Andorra,42.5063,1.5218,35.6,29.3,54,31.3,0,0
290,,Andorra,42.5063,1.5218,34.9,26.4,48.7,32.3,0,0
291,,Andorra,42.5063,1.5218,40.4,31.8,52.7,36,0,0
292,,Andorra,42.5063,1.5218,48,36,56.8,27.5,0.02,0
293,,Andorra,42.5063,1.5218,37.5,29.8,49.1,18.7,0.01,0
294,,Andorra,42.5063,1.5218,32,21.9,46.6,12.1,0.03,0
295,,Andorra,42.5063,1.5218,29.6,20.1,45.1,17.4,0,0
296,,Andorra,42.5063,1.5218,28.8,21,49.6,18.9,0,0
297,,Andorra,42.5063,1.5218,28.5,20.7,44.2,19,0,0
298,,Andorra,42.5063,1.5218,28.6,18.9,46,20.7,0,0
299,,Andorra,42.5063,1.5218,43.5,28.2,52.2,25.5,0,0
300,,Andorra,42.5063,1.5218,39.8,35.1,45.1,27.6,0.01,0
301,,Andorra,42.5063,1.5218,29.3,21.4,43.7,10.8,0.15,0
302,,Andorra,42.5063,1.5218,31.2,19.6,46.9,24,0,0
303,,Andorra,42.5063,1.5218,36.4,26.1,53.6,18.9,0.01,0
304,,Andorra,42.5063,1.5218,32.2,22.3,53.1,21.9,0,0
305,,Andorra,42.5063,1.5218,33.9,26.2,46.4,26.9,0,0
306,,Andorra,42.5063,1.5218,36.6,26.4,50.4,32.4,0,0
307,,Andorra,42.5063,1.5218,33.8,24.1,50,17,0,0
308,,Andorra,42.5063,1.5218,31.3,21,41.7,17.9,0,0
309,,Andorra,42.5063,1.5218,34.2,25.2,51.3,23.4,0,0
310,,Andorra,42.5063,1.5218,38.1,28,54.7,17.1,0,0
311,,Andorra,42.5063,1.5218,37.4,25.9,56.1,26.2,0,0
312,,Andorra,42.5063,1.5218,42.7,31.6,62.1,27.9,0,0
313,,Andorra,42.5063,1.5218,43.6,32.9,63.1,24,0,0
314,,Andorra,42.5063,1.5218,40,30.7,52.9,22.7,0,0
315,,Andorra,42.5063,1.5218,30.1,25.2,37.6,19.5,0.04,0
316,,Andorra,42.5063,1.5218,27.9,17.1,35.6,21.7,0.12,0
317,,Andorra,42.5063,1.5218,32.9,18.5,50.9,15.4,0.08,0
318,,Andorra,42.5063,1.5218,30.9,25,37.4,24.2,0,0
319,,Andorra,42.5063,1.5218,36,28.8,45.7,31.2,0.06,0
320,,Andorra,42.5063,1.5218,31.4,28.2,33.6,30.6,0.06,0
321,,Andorra,42.5063,1.5218,29,17.8,38.3,11,1.1,0
322,,Andorra,42.5063,1.5218,29.8,16.2,48.2,13.1,0.02,0
323,,Andorra,42.5063,1.5218,30.5,25.7,34.9,29.9,0,0
324,,Andorra,42.5063,1.5218,29.7,21.2,41.5,18.7,0.54,0
325,,Andorra,42.5063,1.5218,26.3,15.1,44.1,14.1,0.13,0
326,,Andorra,42.5063,1.5218,31.5,15.3,51.3,17,0,0
327,,Andorra,42.5063,1.5218,33.5,23.5,44.1,19.7,0,0
328,,Andorra,42.5063,1.5218,38.9,19,54,28.1,0,0
329,,Andorra,42.5063,1.5218,41,35.1,65.8,34.4,0,0
330,,Andorra,42.5063,1.5218,45.7,34.3,62.8,33.3,0,0
331,,Andorra,42.5063,1.5218,43.1,32.4,57.6,32,0.01,0
332,,Andorra,42.5063,1.5218,37.1,28.8,53.2,24,0.13,0
333,,Andorra,42.5063,1.5218,34.2,29.5,38.7,31.5,0,0
334,,Andorra,42.5063,1.5218,36.5,32.7,44.2,33.3,0,0
335,,Andorra,42.5063,1.5218,39.4,27.3,59.9,28.7,0,0
336,,Andorra,42.5063,1.5218,40.4,29.3,56.8,30.2,0,0
337,,Andorra,42.5063,1.5218,40.8,28.9,58.3,30.5,0,0
338,,Andorra,42.5063,1.5218,38.3,30,52.7,32.8,0,0
339,,Andorra,42.5063,1.5218,40.4,27.3,57,29.8,0,0
340,,Andorra,42.5063,1.5218,37.1,31.5,41.9,36.3,0.02,0
341,,Andorra,42.5063,1.5218,30.4,26.6,35.1,30.3,0,0
342,,Andorra,42.5063,1.5218,25.8,18.1,33.3,23.1,0,0
373,,Antigua and Barbuda,17.0608,-61.7964,76.8,71.8,81.7,67.8,0.03,1
374,,Antigua and Barbuda,17.0608,-61.7964,78.3,74.7,84.2,68.3,0,0
375,,Antigua and Barbuda,17.0608,-61.7964,75.5,72.3,84,71.3,0.04,1
376,,Antigua and Barbuda,17.0608,-61.7964,75.5,71.1,82.4,71.6,0.09,0
377,,Antigua and Barbuda,17.0608,-61.7964,74.4,70.3,82.9,71.3,0.02,1
378,,Antigua and Barbuda,17.0608,-61.7964,77.1,70.3,83.8,69.7,1.19,0
379,,Antigua and Barbuda,17.0608,-61.7964,76.1,69.8,82.8,69.6,0,0
380,,Antigua and Barbuda,17.0608,-61.7964,75.9,69.3,84.6,69.2,0,0
381,,Antigua and Barbuda,17.0608,-61.7964,76.3,69.3,84.6,70,0,0
382,,Antigua and Barbuda,17.0608,-61.7964,76.5,70.5,83.5,69,0,0
383,,Antigua and Barbuda,17.0608,-61.7964,78,70.5,83.1,69.9,0,0
384,,Antigua and Barbuda,17.0608,-61.7964,78.8,74.8,83.5,69.6,99.99,1
385,,Antigua and Barbuda,17.0608,-61.7964,77.6,71.1,84.2,69.1,0,0
386,,Antigua and Barbuda,17.0608,-61.7964,78.2,71.1,84.2,67.8,0,0
387,,Antigua and Barbuda,17.0608,-61.7964,78.4,74.3,82.9,69.9,0.03,1
388,,Antigua and Barbuda,17.0608,-61.7964,79.2,74.3,83.1,69.5,0.13,0
389,,Antigua and Barbuda,17.0608,-61.7964,78.4,73.4,82.4,69.5,0.04,1
390,,Antigua and Barbuda,17.0608,-61.7964,78.3,73.4,83.5,67.3,0.05,0
391,,Antigua and Barbuda,17.0608,-61.7964,77.2,72.3,82.6,69.2,0,1
392,,Antigua and Barbuda,17.0608,-61.7964,78.8,73,82.9,68.8,0.21,1
393,,Antigua and Barbuda,17.0608,-61.7964,78.3,70.3,82.9,68.4,0.01,1
394,,Antigua and Barbuda,17.0608,-61.7964,77.7,70.3,82.8,69,0.44,1
395,,Antigua and Barbuda,17.0608,-61.7964,78.2,74.3,82.6,67.9,0.09,0
396,,Antigua and Barbuda,17.0608,-61.7964,77,72.1,82.6,70.3,0.44,1
397,,Antigua and Barbuda,17.0608,-61.7964,76.5,71.8,82.2,71.2,0.73,1
398,,Antigua and Barbuda,17.0608,-61.7964,77.1,71.8,82,70.1,0.04,1
399,,Antigua and Barbuda,17.0608,-61.7964,76.5,72,82,69.7,0.14,1
400,,Antigua and Barbuda,17.0608,-61.7964,78.1,72,82.4,68.3,0.16,0
401,,Antigua and Barbuda,17.0608,-61.7964,77.7,75.2,82.4,68.1,0,1
402,,Antigua and Barbuda,17.0608,-61.7964,77.2,72.5,82.2,66.7,0.02,1
403,,Antigua and Barbuda,17.0608,-61.7964,77.5,72.5,82.6,66.7,0,0
404,,Antigua and Barbuda,17.0608,-61.7964,77.4,71.6,85.1,68,99.99,1
405,,Antigua and Barbuda,17.0608,-61.7964,76.4,71.1,85.1,67.1,0,0
406,,Antigua and Barbuda,17.0608,-61.7964,75.7,68.7,84.7,69.6,0,0
407,,Antigua and Barbuda,17.0608,-61.7964,78.1,68.7,83.1,69.4,0,0
408,,Antigua and Barbuda,17.0608,-61.7964,76,72.5,83.1,69.2,0.06,1
409,,Antigua and Barbuda,17.0608,-61.7964,77.1,72.5,82.6,66.3,0.13,0
410,,Antigua and Barbuda,17.0608,-61.7964,77.6,70,83.1,68.3,0,0
411,,Antigua and Barbuda,17.0608,-61.7964,77.1,70.2,83.8,69.8,0,0
412,,Antigua and Barbuda,17.0608,-61.7964,76.8,70.5,83.8,68.6,0.06,1
413,,Antigua and Barbuda,17.0608,-61.7964,77.7,70.5,83.1,66.9,0.07,1
414,,Antigua and Barbuda,17.0608,-61.7964,77.9,73,82.8,67.6,0.05,1
415,,Antigua and Barbuda,17.0608,-61.7964,78.7,73,83.5,68.8,0,0
416,,Antigua and Barbuda,17.0608,-61.7964,78.5,73.8,83.5,67.6,0,0
417,,Antigua and Barbuda,17.0608,-61.7964,78.5,75.2,82.4,68,99.99,1
418,,Antigua and Barbuda,17.0608,-61.7964,78.4,73.9,83.5,68.2,0,0
419,,Antigua and Barbuda,17.0608,-61.7964,77.9,71.1,83.5,65.1,0,0
420,,Antigua and Barbuda,17.0608,-61.7964,78,71.1,83.5,64.2,99.99,1
421,,Antigua and Barbuda,17.0608,-61.7964,78.7,73.4,82.4,66.7,0,1
422,,Antigua and Barbuda,17.0608,-61.7964,77.9,73.2,83.3,68.1,0.33,0
423,,Antigua and Barbuda,17.0608,-61.7964,77.9,72.1,82.9,67.8,0,1
424,,Antigua and Barbuda,17.0608,-61.7964,78,71.6,82.4,69.1,0.22,1
425,,Antigua and Barbuda,17.0608,-61.7964,78.7,72.3,84.4,69.1,0,0
426,,Antigua and Barbuda,17.0608,-61.7964,75.7,68.2,84.4,68.7,0.42,1
427,,Antigua and Barbuda,17.0608,-61.7964,74.8,64.4,82.4,65.4,0,0
428,,Antigua and Barbuda,17.0608,-61.7964,75.5,64.8,84,67.5,0.04,0
429,,Antigua and Barbuda,17.0608,-61.7964,78.7,67.8,84.4,68.7,0,0
430,,Antigua and Barbuda,17.0608,-61.7964,78.9,75.6,84.4,68.8,0,0
431,,Antigua and Barbuda,17.0608,-61.7964,76.8,70.2,84,67.7,0.35,1
432,,Antigua and Barbuda,17.0608,-61.7964,77.2,69.6,82.8,67.7,0.09,1
433,,Antigua and Barbuda,17.0608,-61.7964,75.5,69.6,83.1,69.3,0.32,1
434,,Antigua and Barbuda,17.0608,-61.7964,76.8,71.2,82.9,69.1,0.25,1
435,,Antigua and Barbuda,17.0608,-61.7964,75.4,71.6,82.9,70.4,0.6,1
466,,Argentina,-38.4161,-63.6167,77.4,60.1,94.6,57.2,0,0
467,,Argentina,-38.4161,-63.6167,82.1,64.4,96.6,60.5,0,0
468,,Argentina,-38.4161,-63.6167,79.5,72.5,97.7,60.3,0.01,1
469,,Argentina,-38.4161,-63.6167,73.3,65.1,84.6,50.5,0,0
470,,Argentina,-38.4161,-63.6167,68.8,56.1,84.2,48.2,0,0
471,,Argentina,-38.4161,-63.6167,64.8,45.3,83.8,40.3,0,0
472,,Argentina,-38.4161,-63.6167,76.5,60.8,91.2,48.9,0,1
473,,Argentina,-38.4161,-63.6167,66.8,51.8,93.6,49.6,0.02,0
474,,Argentina,-38.4161,-63.6167,71.7,50.2,90.7,44.9,0,0
475,,Argentina,-38.4161,-63.6167,77.9,66.9,92.1,49,0,0
476,,Argentina,-38.4161,-63.6167,83.6,69.4,101.1,55.4,0,0
477,,Argentina,-38.4161,-63.6167,77.9,68.2,101.8,51.8,0,0
478,,Argentina,-38.4161,-63.6167,81,66.4,97.9,59.1,99.99,1
479,,Argentina,-38.4161,-63.6167,76.1,70.9,99.1,62.7,0,1
480,,Argentina,-38.4161,-63.6167,71.1,61.5,83.3,64.2,0.03,1
481,,Argentina,-38.4161,-63.6167,70.3,64,83.3,64.4,0.01,1
482,,Argentina,-38.4161,-63.6167,67.3,58.3,79.2,58.3,0,0
483,,Argentina,-38.4161,-63.6167,66.3,57.9,79.5,56.4,0,0
484,,Argentina,-38.4161,-63.6167,62.1,48.2,75.6,49.4,0,0
485,,Argentina,-38.4161,-63.6167,65.8,48.7,84,48,0,0
486,,Argentina,-38.4161,-63.6167,72.2,53.2,86.9,48.8,0,0
487,,Argentina,-38.4161,-63.6167,76.8,60.8,91.8,54.6,0,0
488,,Argentina,-38.4161,-63.6167,72.1,65.8,91.9,62.8,0.55,1
489,,Argentina,-38.4161,-63.6167,70.9,53.6,86.9,51.9,0,1
490,,Argentina,-38.4161,-63.6167,77.4,63.1,92.1,48.5,0,0
491,,Argentina,-38.4161,-63.6167,78.3,67.5,92.3,48.5,0,0
492,,Argentina,-38.4161,-63.6167,71.6,67.3,91.8,58.3,0,0
493,,Argentina,-38.4161,-63.6167,67.8,51.4,84.2,46.2,0.01,1
494,,Argentina,-38.4161,-63.6167,69.9,61.9,84.7,43.5,0,0
495,,Argentina,-38.4161,-63.6167,60.7,45.3,78.8,39.2,0,0
496,,Argentina,-38.4161,-63.6167,60.1,50.9,73.9,44.5,0,0
497,,Argentina,-38.4161,-63.6167,60.8,40.5,82,41.7,0,0
498,,Argentina,-38.4161,-63.6167,71,55,86.5,49.6,0,0
499,,Argentina,-38.4161,-63.6167,72.7,65.5,88.7,50.2,0,0
500,,Argentina,-38.4161,-63.6167,62.9,47.1,80.6,45.7,0,0
501,,Argentina,-38.4161,-63.6167,67.1,49.1,87.1,43.3,0,0
502,,Argentina,-38.4161,-63.6167,74.3,60.4,92.1,47.8,0,0
503,,Argentina,-38.4161,-63.6167,72.8,59,93.7,52.9,0,0
504,,Argentina,-38.4161,-63.6167,76.1,53.6,90.5,56.8,0.08,1
505,,Argentina,-38.4161,-63.6167,79.9,61,100,59.2,0,0
506,,Argentina,-38.4161,-63.6167,86.3,72.9,101.5,52.9,0,0
507,,Argentina,-38.4161,-63.6167,83.4,71.2,99.1,53.2,0,0
508,,Argentina,-38.4161,-63.6167,81.6,62.6,97.5,54.9,0,0
509,,Argentina,-38.4161,-63.6167,79.4,65.3,98.2,55.3,0,0
510,,Argentina,-38.4161,-63.6167,81.2,63.9,95.9,58.5,0,0
511,,Argentina,-38.4161,-63.6167,81.1,71.8,96.3,60.2,0,0
512,,Argentina,-38.4161,-63.6167,70.3,63.7,91,51.8,0,0
